Distance,AnswerType
376.4056863425237,2
372.0171073414305,2
365.2350340565951,2
361.36313794575136,2
358.89050285738176,2
356.32765533676167,2
353.8099274304582,2
348.85093956601236,2
344.8543502193051,2
340.5753262335713,2
332.10205663024783,2
317.9504816648426,2
309.57894534038525,2
302.9766206407042,2
300.00101240020103,2
298.1791881279181,2
298.49834117311235,2
296.28027661391485,2
295.79704541397945,2
295.37789848859876,2
295.58093372468926,2
291.73828297441116,2
284.68372266548715,2
278.27382744617006,2
271.5660358506705,2
265.2931262461664,2
259.54904868637607,2
254.97807392483665,2
248.66520030979999,2
245.22708267827576,2
237.70334951911295,2
229.95721597502862,2
223.00633740621905,2
215.72720572689246,2
208.411473145934,2
205.429557603873,2
200.46647923736077,2
195.20228804804742,2
191.95660306462946,2
185.7516237313989,2
178.04724866626248,2
168.0259135365117,2
149.10333215648288,2
148.35845009155517,2
143.23837610703575,2
141.51031435750988,2
138.67619432297818,2
134.23796018083314,2
130.98025712506927,2
121.6879376457073,2
127.7242242877129,2
119.8102233832982,2
134.08363438814885,2
134.08363438814885,2
130.7714054785385,2
128.35442249304015,2
119.52916519656159,2
115.38082411322748,2
108.88222012498036,2
98.46883981147107,2
88.49915822750354,2
77.3495679754602,2
62.01814989068532,2
61.28453936721398,2
52.99293903324848,1
46.90080671049883,1
47.963744476520155,1
55.40602163929769,1
66.44903829911725,2
80.23988477562784,2
66.33449856254552,2
53.39283817658846,1
55.79479819717996,1
73.06098273775137,2
79.52963631973257,2
97.05293442075337,2
114.48642891275986,2
126.46079850925533,2
132.68757911595384,2
141.92536406903918,2
147.22954737909038,2
161.6820546697363,2
170.57039791455867,2
182.06456809093908,2
192.97181091237067,2
195.46316015384969,2
207.35816846565515,2
217.40313304905052,2
228.08013373632744,2
234.95880573134602,2
245.5527043439957,2
256.9260706947129,2
269.2473062312475,2
280.8700764634389,2
292.88843719854344,2
303.59797103210764,2
308.87481306942084,2
321.4353745481242,2
323.24035971845177,2
334.7838480927726,2
343.9270863330163,2
352.3039009717049,2
361.0991705784256,2
370.16091450409317,2
380.9922774639697,2
389.93377087790236,2
399.58358930299386,2
410.39080033930895,2
420.77930399467215,2
429.8132619109007,2
438.85653149896007,2
446.50029491359584,2
476.70816377201396,2
480.9055334689169,2
485.7613719322587,2
499.9513234591638,2
504.754482819248,2
503.03750462552557,2
506.5886777180919,2
509.3473226750011,2
513.0817544922579,2
514.401465264567,2
517.130749074354,2
519.7897696151612,2
522.3317303690707,2
525.0000454267606,2
528.1935180787814,2
531.2613927876786,2
533.9882309232538,2
536.1249689879754,2
537.6604241246072,2
538.8399300545381,2
539.9330595931174,2
541.1635762275531,2
542.4079946874892,2
543.2431338459303,2
543.7031180195944,2
545.4099942571655,2
538.6111008564765,2
533.5443676921594,2
526.3803360130618,2
518.7017728819699,2
511.4608021576257,2
503.5571529405762,2
495.72737703491106,2
487.522924672628,2
480.2126218940194,2
473.27451675860544,2
465.96998201889346,2
459.0723322667136,2
451.2723559225455,2
443.34408776948584,2
435.2551085734936,2
426.69660911375195,2
418.3908629934811,2
410.7285118417867,2
402.6517602527477,2
395.0750554811281,2
387.7420820272888,2
380.8576606662867,2
373.2971515104596,2
365.7053319652265,2
354.58893268871174,2
346.78137670899196,2
336.08774459140284,2
318.2965226116423,2
316.01297863117424,2
314.1962562564795,2
310.2018864202343,2
306.4789391539416,2
302.54784190801166,2
296.2629863911953,2
289.05254232939365,2
281.9499341010847,2
274.16453778946214,2
266.241788342621,2
258.61880785291964,2
251.07404422301366,2
243.1340052191808,2
235.43955239649878,2
227.60779015353205,2
220.4001623009966,2
213.6078707973096,2
207.0241202465991,2
199.8108877182977,2
192.26767368885376,2
184.59002063640952,2
177.98765285253938,2
172.3047736828046,2
168.0078965226676,2
166.0705376744589,2
161.8898559622814,2
166.9786265587444,2
172.43656789269525,2
171.3364639506403,2
170.29025953969813,2
170.7100921957606,2
172.244210655749,2
171.8329463991101,2
179.66328947989825,2
186.2321641266272,2
189.27136869820197,2
188.01447116338883,2
182.11621522421225,2
174.96510297640788,2
170.41060066516943,2
163.91322119455288,2
158.0270459076254,2
158.04598186806126,2
149.3926157486689,2
144.4427908066465,2
142.92328670354894,2
147.30167182870858,2
145.03766088673495,2
146.6893969647872,2
153.9231863514682,2
163.76618597945694,2
169.31622482554243,2
184.45431067255774,2
181.69537574641976,2
178.4090858672245,2
172.0286395697975,2
171.25464082182356,2
174.1507226897142,2
173.66641738765182,2
170.07082095772734,2
154.3148866603708,2
143.7085224818643,2
132.13695056286485,2
125.6803159574326,2
115.45468632149448,2
104.89844716453642,2
100.94845615438425,2
95.77805915022212,2
96.75797205178472,2
103.50569475328088,2
108.03353671774589,2
109.27330005686385,2
111.14648046187656,2
116.9478694274138,2
125.9654309213746,2
133.52301926470136,2
142.42631461606135,2
148.90465605213703,2
153.38256498458566,2
154.99769079238712,2
158.6109991807346,2
150.53175776910288,2
150.8932711208045,2
152.44550292712694,2
150.1058490759939,2
154.99777661085136,2
152.99500009528808,2
162.00884029939965,2
167.44612012682185,2
177.1711065335885,2
178.94820799268803,2
178.2328457615603,2
180.06816823925868,2
183.23870064908695,2
185.8161089343731,2
192.82633379971816,2
198.26177054303454,2
202.40418671563913,2
206.3013157706386,2
210.17855704026465,2
214.1125884175786,2
219.01068557854492,2
223.98832515400278,2
229.6516433946964,2
232.44478074132132,2
236.12181909465207,2
245.31025223721238,2
255.3459500098152,2
263.7951625140771,2
269.3340576193512,2
273.23582637175565,2
275.5074293544346,2
282.14727060350634,2
288.23192405212086,2
290.8900511447067,2
295.9112946288997,2
300.63627580172056,2
305.1682814601855,2
305.68878320078176,2
304.69553831975514,2
301.65563561708285,2
302.0068306221657,2
307.29137872704194,2
307.5400566074187,2
311.73768880100084,2
317.63659998295327,2
325.14180477703525,2
331.4363168557949,2
338.45038996787395,2
344.95765805809987,2
351.27353001324207,2
356.24920309355474,2
361.24913554228556,2
369.7701561315731,2
371.7953825491415,2
375.37338359427605,2
375.5677100772167,2
366.3917820254709,2
355.677906195508,2
345.7675463529654,2
337.0014710561506,2
328.0096557416924,2
320.43345342715503,2
310.16424852001984,2
308.28017533822515,2
300.77957561347876,2
293.41223301243934,2
291.46428935064654,2
287.1693455132111,2
283.8236124844475,2
281.2986552721827,2
279.2153567864317,2
278.24628274433206,2
273.48714716906846,2
269.1149882695742,2
265.9883337907392,2
261.2679084389415,2
252.9190304106546,2
246.64094939181945,2
238.97169866260992,2
233.20696787377986,2
226.68692587623545,2
220.1844844025495,2
213.35177117528934,2
207.3412027803664,2
203.6857333918419,2
203.64211080047247,2
206.23961757412778,2
209.09050036716405,2
211.98937870168263,2
216.61246141168388,2
221.83843720185166,2
220.54840224777067,2
229.83314929692258,2
238.68830209638557,2
221.79581092081142,2
223.10873697733223,2
227.52479137252664,2
223.87065222097215,2
229.90287555001308,2
236.06390234989212,2
243.5358860843006,2
250.71101529925605,2
258.5743255274233,2
264.22367792073726,2
272.1999735049064,2
274.13902191985034,2
280.22239196045723,2
285.8689109071199,2
291.18841723792974,2
296.8164111898843,2
302.460063476634,2
307.9088658435573,2
313.99907648272074,2
318.61005489430164,2
317.55513305575107,2
314.14605678359726,2
312.039082754427,2
306.99671059129594,2
301.0818579638688,2
295.13206144656965,2
289.3472342225895,2
282.76918759742466,2
274.543004060311,2
264.40263417459045,2
255.40896630808248,2
249.28402189875558,2
247.7751826184393,2
248.82533724717155,2
247.44507856584832,2
246.4590436457473,2
244.34675950739208,2
240.14812354863807,2
236.61724864548106,2
232.29328010334442,2
228.87671537124302,2
225.74514419951808,2
221.8627418024753,2
218.1817932580046,2
215.0838150440854,2
212.03278769446408,2
209.31217021931442,2
206.1966779708402,2
203.98861482546445,2
202.64572896077593,2
200.44964968953516,2
197.76679581066563,2
191.87576283753725,2
188.49195162746395,2
187.33525083716654,2
181.3219717705611,2
192.53519113055535,2
200.24227669990486,2
203.07385742928452,2
205.0623789010939,2
206.9327505199771,2
209.91429439361377,2
212.4481485159677,2
215.25120408034607,2
209.38439467044125,2
199.3237085977694,2
190.19995816794741,2
179.4247181865243,2
168.5334740528139,2
159.0688822106475,2
155.92146875804679,2
155.1194816879961,2
140.35490036146265,2
136.00010797731932,2
133.85085340166452,2
134.42223464273283,2
136.1450819211528,2
138.01280959728803,2
138.65414038276765,2
138.67172008603646,2
143.76818213283218,2
147.33197772160722,2
148.49328816860194,2
144.92349589344497,2
140.82497567978723,2
142.57544181802947,2
143.84331693671677,2
147.712168906603,2
149.44206416275276,2
154.64976833557793,2
161.28803508899617,2
162.6669054400177,2
165.04969625189037,2
165.10944305099423,2
165.40679410727867,2
168.01111806016567,2
170.70848536396713,2
173.39163103051314,2
175.5145899479319,2
179.94024154702396,2
185.38286529090652,2
191.02670251872541,2
205.91725066464838,2
212.98199271331782,2
220.87855953789455,2
230.5175672107129,2
238.2445960428132,2
247.23136856550582,2
258.2835757842198,2
269.5706334274058,2
279.2985042874751,2
289.69713947968404,2
295.9487685351094,2
304.1856350437232,2
308.4254395934336,2
313.77797358353445,2
318.1707991153741,2
322.49201406334663,2
326.67732569353046,2
335.6965324945152,2
341.4189720719361,2
346.65274709987415,2
353.21621465431645,2
359.5830128111294,2
368.38211347263024,2
372.92045844789453,2
372.8875747790078,2
375.6495575771855,2
380.396620648782,2
385.87189012737855,2
390.91245651792366,2
397.00330377234724,2
403.0983157905174,2
409.24775813270594,2
410.88150007778887,2
411.64778343666455,2
412.01628809518985,2
417.46165001961776,2
420.1990528607086,2
415.2114601031271,2
420.706707716502,2
426.17206105661774,2
432.1807559500466,2
438.85486264444813,2
441.3992545145422,2
444.02686852522635,2
446.7019080215087,2
449.5552572349477,2
452.54339851537867,2
455.6553262374159,2
458.7642148728507,2
461.930207934604,2
465.23601382819305,2
468.59317238480605,2
471.68118571358764,2
474.8433463595063,2
488.40483951651044,2
491.8969397101037,2
495.5046541115395,2
499.19325549899554,2
503.1411121638933,2
507.37557114733835,2
511.7039411992622,2
516.0746341224943,2
520.535109860529,2
525.3068036966202,2
529.7258556733384,2
534.1132610488866,2
538.6450627771717,2
546.7878851702465,2
554.7084727939161,2
561.5804021731535,2
568.4911715107521,2
574.3140186877459,2
579.7773544769342,2
581.5801324335011,2
585.4313227626536,2
589.6567322817967,2
592.1181505656722,2
595.3810522510112,2
621.2888907988122,2
626.4960301376497,2
632.5470216799272,2
635.1478741059651,2
636.4636780130097,2
637.8210840004216,2
