Question,Answer,Latitude,Longitude,Altitude,Accuracy,Altitude Accuracy,Heading,Speed,Timestamp,TeamId,DeviceType,DeviceI,x,y,Answer,AnswerInt,Distance
16,B,52.2224026965,6.8958204892,101.9000244141,10,null,286,0.6880499721,1377340702000,AAH16,android,811a74ad-03db-45e3-8b2a-b35436abc04c,258080.19357214,471552.562538507,CC,1,59.080838272771345
19,B,52.222125968,6.8965851702,94.799987793,10,null,184,1.5637500286,1377340777000,AAH16,android,811a74ad-03db-45e3-8b2a-b35436abc04c,258133.078024432,471522.865275735,CC,1,40.1350971525402
15,D,52.2220575716,6.8904046901,93.299987793,10,null,300,2.1892499924,1377340986000,AAH16,android,811a74ad-03db-45e3-8b2a-b35436abc04c,257710.977997383,471506.483801222,CC,1,35.268286137369074
14,D,52.2217842797,6.8875414319,88.0999755859,5,null,248,0,1377341165000,AAH16,android,811a74ad-03db-45e3-8b2a-b35436abc04c,257515.985434946,471472.029455693,CC,1,165.75422889438718
11,D,52.2217842797,6.8875414319,88.0999755859,5,null,248,0,1377341165000,AAH16,android,811a74ad-03db-45e3-8b2a-b35436abc04c,257515.985434946,471472.029455693,CD,2,515.133584774511
23,1.5,52.2217842797,6.8875414319,88.0999755859,5,null,248,0,1377341165000,AAH16,android,811a74ad-03db-45e3-8b2a-b35436abc04c,257515.985434946,471472.029455693,CD,2,814.3167618326441
8,C,52.2199017,6.8960806,null,883,null,null,null,1377336116000,AAH16,android,5e4b0bfd-479f-4772-857d-af9df9ae046a,258103.754707524,471274.709437579,IC,3,87.7384218158716
7,C,52.2199017,6.8960806,null,883,null,null,null,1377336116000,AAH16,android,5e4b0bfd-479f-4772-857d-af9df9ae046a,258103.754707524,471274.709437579,CC,1,108.43111384772888
2,C,52.2181239,6.896661,null,50,null,null,null,1377336492000,AAH16,android,5e4b0bfd-479f-4772-857d-af9df9ae046a,258147.527676209,471077.763926699,CC,1,56.83319846652741
3,A,52.2181146825,6.8973154854,93.0999755859,25,null,109,0.9382500052,1377336463000,AAH16,android,5e4b0bfd-479f-4772-857d-af9df9ae046a,258192.268244393,471077.669733107,CC,1,37.737961325129575
17,A,52.21708111,6.8992995657,110.9000244141,35,null,35,0.3127500117,1377337108000,AAH16,android,5e4b0bfd-479f-4772-857d-af9df9ae046a,258330.232976541,470965.515716357,CD,2,292.3061622666698
4,Martin meijers,52.2170548327,6.8992831372,112.4000244141,20,null,191,0.2502000034,1377337150000,AAH16,android,5e4b0bfd-479f-4772-857d-af9df9ae046a,258329.171399142,470962.569096208,CC,1,15.55945827169761
5,oranje,52.2164740087,6.9025816675,97.299987793,10,null,346,0,1377337415000,AAH16,android,5e4b0bfd-479f-4772-857d-af9df9ae046a,258555.906699793,470902.661070184,CC,1,13.971105920774965
22,C,52.2163880942,6.8944794685,102.0999755859,5,null,331,0,1377337954000,AAH16,android,5e4b0bfd-479f-4772-857d-af9df9ae046a,258002.483779021,470881.563613105,CD,2,214.1236422521208
12,B,52.2200612957,6.894352315,91.5,15,null,329,0.9382500052,1377338403000,AAH16,android,5e4b0bfd-479f-4772-857d-af9df9ae046a,257985.301294224,471290.00757754,CC,1,16.782799057060647
13,dienst uitvoering onderwijs,52.2185014235,6.8895837665,86.4000244141,5,null,278,0,1377338889000,AAH16,android,5e4b0bfd-479f-4772-857d-af9df9ae046a,257663.08890031,471109.717756509,CC,1,19.005049193670747
24,1,52.21970079,6.8961768039,78,15,null,321,0,1377339394000,AAH16,android,5e4b0bfd-479f-4772-857d-af9df9ae046a,258110.792959112,471252.496043883,CC,1,16.980332624264168
6,blauw,52.2192976205,6.8965601921,109,20,null,26,0,1377339523000,AAH16,android,5e4b0bfd-479f-4772-857d-af9df9ae046a,258137.921592662,471208.190791327,CC,1,11.394766029398584
10,A,52.2188553074,6.8987421691,105.4000244141,20,null,231,0,1377340132000,AAH16,android,5e4b0bfd-479f-4772-857d-af9df9ae046a,258288.032022004,471162.091626323,IC,3,14.516225563405287
20,C,52.2209895076,6.8982298672,102,20,null,331,2.3143498898,1377340312000,AAH16,android,5e4b0bfd-479f-4772-857d-af9df9ae046a,258248.080426822,471398.780572337,CD,2,199999.93645817004
16,B,52.2225048719,6.8959434517,109.700012207,15,null,60,0.0625500008,1377340652000,AAH16,android,5e4b0bfd-479f-4772-857d-af9df9ae046a,258088.357929049,471564.103837213,CC,1,62.22200076931959
19,B,52.2220933624,6.8966508843,104.700012207,5,null,189,0,1377340789000,AAH16,android,5e4b0bfd-479f-4772-857d-af9df9ae046a,258137.643203185,471519.331540918,CC,1,44.68151871605543
15,D,52.2220369522,6.8903279118,88.9000244141,15,null,261,0.8756999969,1377341094000,AAH16,android,5e4b0bfd-479f-4772-857d-af9df9ae046a,257705.779956161,471504.081242048,CC,1,36.38083377324915
14,B,52.2218037676,6.8876527436,87.5,15,null,272,2.064150095,1377341166000,AAH16,android,5e4b0bfd-479f-4772-857d-af9df9ae046a,257523.545584944,471474.35476825,IC,3,170.92320992750953
11,D,52.2217958048,6.8875487242,89,10,null,94,0.5629500151,1377341239000,AAH16,android,5e4b0bfd-479f-4772-857d-af9df9ae046a,257516.457126449,471473.321875749,CD,2,514.7353406503125
23,1.5,52.2217958048,6.8875487242,89,10,null,94,0.5629500151,1377341239000,AAH16,android,5e4b0bfd-479f-4772-857d-af9df9ae046a,257516.457126449,471473.321875749,CD,2,814.1993594505343
8,A,52.2183426,6.8965017,null,22.861000061,null,null,null,1377336342655,AAH16,android,198ffa6e-9f01-42d1-a905-16492ef1f0be,258136.136684987,471101.866562908,CD,2,263.58617951000997
7,C,52.2183426,6.8965017,null,22.861000061,null,null,null,1377336342655,AAH16,android,198ffa6e-9f01-42d1-a905-16492ef1f0be,258136.136684987,471101.866562908,CD,2,283.57966031613324
2,C,52.2181934,6.8967162,null,30,null,null,null,1377336362745,AAH16,android,198ffa6e-9f01-42d1-a905-16492ef1f0be,258151.138375512,471085.573959947,CC,1,59.89333588217546
3,A,52.2181934,6.8967162,null,30,null,null,null,1377336362745,AAH16,android,198ffa6e-9f01-42d1-a905-16492ef1f0be,258151.138375512,471085.573959947,CC,1,59.89333588217546
17,A,52.2179154,6.8972497,null,35.1819992065,null,null,null,1377336386224,AAH16,android,198ffa6e-9f01-42d1-a905-16492ef1f0be,258188.235021491,471055.406986403,CD,2,285.29760351079364
4,martin meijers,52.2166618472,6.8993042596,127.0999755859,20,null,60,0,1377336881000,AAH16,android,198ffa6e-9f01-42d1-a905-16492ef1f0be,258331.526404946,470918.881655153,CC,1,33.184475240624856
5,geel,52.2166052694,6.9026858546,107.799987793,35,null,135,0,1377337415000,AAH16,android,198ffa6e-9f01-42d1-a905-16492ef1f0be,258562.720569055,470917.411908086,IC,3,30.219622466163138
22,C,52.21653922,6.8943061307,105.4000244141,15,null,271,0,1377337955000,AAH16,android,198ffa6e-9f01-42d1-a905-16492ef1f0be,257990.290154175,470898.129359298,CD,2,205.0960603923453
12,B,52.220004634,6.8942805659,94.4000244141,10,null,55,0.37530002,1377338408000,AAH16,android,198ffa6e-9f01-42d1-a905-16492ef1f0be,257980.530106222,471283.602354613,CC,1,12.312440004715803
13,dienst uitvoering onderwijs,52.21855029,6.8895060662,90.299987793,50,null,61,0,1377338883000,AAH16,android,198ffa6e-9f01-42d1-a905-16492ef1f0be,257657.667248609,471115.043899511,CC,1,18.437519993194933
24,1,52.2197520034,6.8962043803,78.0999755859,10,null,167,0,1377339390000,AAH16,android,198ffa6e-9f01-42d1-a905-16492ef1f0be,258112.558538185,471258.23248197,CC,1,14.604681297902639
6,blauw,52.2193348361,6.8963786401,73.5999755859,15,null,166,0,1377339532000,AAH16,android,198ffa6e-9f01-42d1-a905-16492ef1f0be,258125.43078732,471212.072613029,CC,1,12.908357365009245
10,C,52.2180147,6.8976074,null,36,null,null,null,1377339908640,AAH16,android,198ffa6e-9f01-42d1-a905-16492ef1f0be,258212.445682476,471066.962674823,CC,1,107.04570607306619
20,C,52.2214915,6.8974688,null,30,null,null,null,1377340345720,AAH16,android,198ffa6e-9f01-42d1-a905-16492ef1f0be,258194.918869352,471453.541193785,CD,2,199946.7714027001
16,B,52.2225059615,6.8957767356,104.9000244141,15,null,218,0,1377340651000,AAH16,android,198ffa6e-9f01-42d1-a905-16492ef1f0be,258076.96526624,471563.988038705,CC,1,51.40522824091885
19,B,52.2219891753,6.8967352062,106.200012207,20,null,142,0,1377340790000,AAH16,android,198ffa6e-9f01-42d1-a905-16492ef1f0be,258143.645491169,471507.861207967,CC,1,52.31216946471171
15,D,52.2220987268,6.8903615233,92.200012207,15,null,317,0,1377341039000,AAH16,android,198ffa6e-9f01-42d1-a905-16492ef1f0be,257707.933863869,471511.000964601,CC,1,30.06476758540108
14,D,52.2218722058,6.8875099998,88.0999755859,15,null,289,0,1377341220000,AAH16,android,198ffa6e-9f01-42d1-a905-16492ef1f0be,257513.635530685,471481.766357972,CC,1,173.93272187532614
11,D,52.2219359921,6.8872199859,134.299987793,10,null,297,0.2502000034,1377341231000,AAH16,android,198ffa6e-9f01-42d1-a905-16492ef1f0be,257493.67448929,471488.452287922,CD,2,538.5273834394359
23,1.5,52.2218979802,6.8873318844,106.9000244141,10,null,189,0,1377341250000,AAH16,android,198ffa6e-9f01-42d1-a905-16492ef1f0be,257501.407063909,471484.381829071,CD,2,831.6503247202194
23,1.5,52.2210752964,6.8952941895,96,24,null,349.8046875,0,1377336469000,AAG04,android,6ea8539c-ed7e-4249-8391-5cea801a884a,258047.30792361,471404.148051425,CD,2,292.89237065941626
11,D,52.2213327885,6.8951654434,94,4,null,297.7734375,0,1377337043000,AAG04,android,6ea8539c-ed7e-4249-8391-5cea801a884a,258037.915861149,471432.609760845,CC,1,13.439084100009644
15,D,52.2220817833,6.8902546167,null,41,null,null,null,1377337527000,AAG04,android,6ea8539c-ed7e-4249-8391-5cea801a884a,257700.668943682,471508.964660672,CC,1,31.042547782897056
21,2000,52.2301840782,6.8931591511,91,24,null,332.9296875,0,1377338778000,AAG04,android,6ea8539c-ed7e-4249-8391-5cea801a884a,257880.388135065,472414.422200932,CC,1,10.649309525677468
19,B,52.23035458,6.89286547,null,41,null,null,null,1377338871000,AAG04,android,6ea8539c-ed7e-4249-8391-5cea801a884a,257859.933199975,472432.973014245,CD,2,941.3567467348158
16,B,52.2218316793,6.8954336643,92,12,null,300.234375,0,1377339564000,AAG04,android,6ea8539c-ed7e-4249-8391-5cea801a884a,258055.08683936,471488.489970006,CC,1,96.48260154608946
20,C,52.2218316793,6.8954282999,92,16,null,300.234375,0,1377339603000,AAG04,android,6ea8539c-ed7e-4249-8391-5cea801a884a,258054.720334866,471488.482345827,CD,2,199806.57847766005
7,C,52.2215954,6.8952461,null,80,null,null,null,1377339929000,AAG04,android,6ea8539c-ed7e-4249-8391-5cea801a884a,258042.818863361,471461.938554034,CC,1,88.49254938673704
24,1,52.2192674875,6.8963617086,94,8,null,144.140625,0,1377340539000,AAG04,android,6ea8539c-ed7e-4249-8391-5cea801a884a,258124.429884121,471204.556353023,CC,1,65.7178871021939
6,blauw,52.2192674875,6.8963617086,94,8,null,144.140625,0,1377340539000,AAG04,android,6ea8539c-ed7e-4249-8391-5cea801a884a,258124.429884121,471204.556353023,CC,1,7.19628680470615
10,C,52.2192674875,6.8963617086,94,6,null,144.140625,0,1377340586000,AAG04,android,6ea8539c-ed7e-4249-8391-5cea801a884a,258124.429884121,471204.556353023,CC,1,164.85889909184488
17,A,52.21915338,6.89636311,null,21,null,null,null,1377340843000,AAG04,android,6ea8539c-ed7e-4249-8391-5cea801a884a,258124.789857041,471191.864482689,CD,2,278.1085579198419
4,martijn meijers,52.2169929743,6.8990170956,102,6,null,110.0390625,0,1377341489000,AAG04,android,6ea8539c-ed7e-4249-8391-5cea801a884a,258311.136555956,470955.308605095,IC,3,10.331598539233342
3,A,52.2169929743,6.8990170956,102,6,null,110.0390625,0,1377341489000,AAG04,android,6ea8539c-ed7e-4249-8391-5cea801a884a,258311.136555956,470955.308605095,CC,1,147.80628389833004
2,B,52.2169929743,6.8990170956,102,6,null,110.0390625,0,1377341489000,AAG04,android,6ea8539c-ed7e-4249-8391-5cea801a884a,258311.136555956,470955.308605095,IC,3,147.80628389833004
12,B,52.2169822454,6.8990331888,96,4,null,110.0390625,0,1377341624000,AAG04,android,6ea8539c-ed7e-4249-8391-5cea801a884a,258312.261074972,470954.138000885,CD,2,478.46287086578684
13,Dienst Uitvoering Onderwijs,52.2169822454,6.8990278244,96,6,null,110.0390625,0,1377341645000,AAG04,android,6ea8539c-ed7e-4249-8391-5cea801a884a,258311.894530832,470954.130357933,CD,2,681.1961118316121
22,C,52.2169822454,6.8990278244,96,6,null,110.0390625,0,1377341645000,AAG04,android,6ea8539c-ed7e-4249-8391-5cea801a884a,258311.894530832,470954.130357933,CD,2,531.3670785237673
14,C,52.2169822454,6.8990278244,96,6,null,110.0390625,0,1377341645000,AAG04,android,6ea8539c-ed7e-4249-8391-5cea801a884a,258311.894530832,470954.130357933,ID,4,934.0793783507357
9,C,52.2169822454,6.8990278244,96,6,null,110.0390625,0,1377341645000,AAG04,android,6ea8539c-ed7e-4249-8391-5cea801a884a,258311.894530832,470954.130357933,CD,2,424.89158072713343
23,1.5,52.2211976729,6.8952742448,371.4049344806,96,null,null,0,1377336429857,AAG04,android,f3677da1-d254-45b9-8d4e-8ae7fa3e0419,258045.66207809,471417.733461382,CD,2,301.22111839683873
11,D,52.2213597969,6.8951536174,94.4386656479,8,null,353.2204284668,0,1377336990000,AAG04,android,f3677da1-d254-45b9-8d4e-8ae7fa3e0419,258037.045390501,471435.597501278,CC,1,10.52496542921313
15,D,52.2223028133,6.8902437915,94.5929115395,12,null,197.8473510742,0,1377337579999,AAG04,android,f3677da1-d254-45b9-8d4e-8ae7fa3e0419,257699.419610612,471533.537804267,CC,1,6.488206649995063
21,2000,52.2304059075,6.8928577637,121.0480234452,24,null,null,0,1377338732391,AAG04,android,f3677da1-d254-45b9-8d4e-8ae7fa3e0419,257859.288209068,472438.672013297,CC,1,35.653677551449555
19,B,52.2219979006,6.8966899522,92.4813640894,6,null,98.6749267578,0,1377339421000,AAG04,android,f3677da1-d254-45b9-8d4e-8ae7fa3e0419,258140.533467722,471508.767480496,CC,1,49.07253475629286
16,B,52.2217874014,6.8952817375,88.7735816758,12,null,0.4196618199,0,1377339567999,AAG04,android,f3677da1-d254-45b9-8d4e-8ae7fa3e0419,258044.809410288,471483.348365433,CC,1,99.24344357643106
20,C,52.2214062742,6.8976270911,84.7016077051,8,null,246.7982788086,0,1377339776999,AAG04,android,f3677da1-d254-45b9-8d4e-8ae7fa3e0419,258205.931164476,471444.28555622,CD,2,199957.78323600872
7,C,52.2205814341,6.8953110048,83.3301322293,16,null,333.1604919434,0,1377340188999,AAG04,android,f3677da1-d254-45b9-8d4e-8ae7fa3e0419,258049.599569718,471349.23231987,CC,1,33.90713539676266
24,1,52.2197561808,6.8962373736,84.0867806798,6,null,198.6559448242,0,1377340392999,AAG04,android,f3677da1-d254-45b9-8d4e-8ae7fa3e0419,258114.80312657,471258.744113918,CC,1,16.368626199070864
6,blauw,52.2193330645,6.8963576866,92.7748241581,6,null,95.5712051392,0,1377340503000,AAG04,android,f3677da1-d254-45b9-8d4e-8ae7fa3e0419,258124.003232492,471211.845731853,CC,1,13.277145162945724
10,C,52.2193319975,6.8963600161,91.3087696146,8,null,95.5712051392,0,1377340658000,AAG04,android,f3677da1-d254-45b9-8d4e-8ae7fa3e0419,258124.164867292,471211.730346653,CC,1,167.6163007705964
17,A,52.2193319975,6.8963600161,89.2782573384,6,null,95.5712051392,0,1377340785000,AAG04,android,f3677da1-d254-45b9-8d4e-8ae7fa3e0419,258124.164867292,471211.730346653,CD,2,275.2510465408544
4,martin meijers,52.2169852942,6.8990996803,100.4605121547,12,null,315.0640869141,0,1377341443999,AAG04,android,f3677da1-d254-45b9-8d4e-8ae7fa3e0419,258316.797300959,470954.571899953,CC,1,5.582074016661883
3,C,52.2169852942,6.8990996803,100.227929077,12,null,315.0640869141,0,1377341461999,AAG04,android,f3677da1-d254-45b9-8d4e-8ae7fa3e0419,258316.797300959,470954.571899953,IC,3,152.890535377857
2,C,52.2169852942,6.8990996803,97.5055383134,8,null,315.0640869141,0,1377341516999,AAG04,android,f3677da1-d254-45b9-8d4e-8ae7fa3e0419,258316.797300959,470954.571899953,CC,1,152.890535377857
12,B,52.2169527557,6.8990091783,93.5293373129,16,null,315.0640869141,0,1377341645999,AAG04,android,f3677da1-d254-45b9-8d4e-8ae7fa3e0419,258310.688864775,470950.823219962,CD,2,479.65415251897895
13,dienst uitvoerend onderwijs,52.2169517795,6.8989973711,91.6956966117,16,null,315.0640869141,0,1377341674999,AAG04,android,f3677da1-d254-45b9-8d4e-8ae7fa3e0419,258309.8843543,470950.697800844,ID,4,679.9799519844083
22,C,52.2169382038,6.8989863896,88.2871783996,8,null,315.0640869141,0,1377341718999,AAG04,android,f3677da1-d254-45b9-8d4e-8ae7fa3e0419,258309.1654881,470949.171930971,CD,2,527.7572557216472
14,D,52.2169382038,6.8989863896,87.4992813944,12,null,315.0640869141,0,1377341737999,AAG04,android,f3677da1-d254-45b9-8d4e-8ae7fa3e0419,258309.1654881,470949.171930971,CD,2,933.5216163560425
9,C,52.2169382038,6.8989863896,87.3304220934,8,null,315.0640869141,0,1377341747999,AAG04,android,f3677da1-d254-45b9-8d4e-8ae7fa3e0419,258309.1654881,470949.171930971,CD,2,428.4019531702208
23,1.5,52.2208794,6.89531949,null,45,null,null,null,1377336343000,AAG04,android,8342c4d0-2073-43dd-8cdf-ebe8cd71b824,258049.489823764,471382.391544689,CD,2,280.83964248015633
11,D,52.22131222,6.89530514,null,45,null,null,null,1377336871000,AAG04,android,8342c4d0-2073-43dd-8cdf-ebe8cd71b824,258047.507861024,471430.520141521,CC,1,21.649660940441375
15,D,52.2223480833,6.8920682,null,113,null,null,null,1377337336000,AAG04,android,8342c4d0-2073-43dd-8cdf-ebe8cd71b824,257823.960412181,471541.159442959,CC,1,123.96583439021205
21,2000,52.23047937,6.89275893,null,61,null,null,null,1377338727000,AAG04,android,8342c4d0-2073-43dd-8cdf-ebe8cd71b824,257852.367314248,472446.704150072,CC,1,45.88259170771265
19,B,52.22187867,6.89657514,null,45,null,null,null,1377339374000,AAG04,android,8342c4d0-2073-43dd-8cdf-ebe8cd71b824,258132.965471814,471495.340386286,CC,1,47.46006012391054
16,B,52.221665,6.895866,null,83,null,null,null,1377339536000,AAG04,android,8342c4d0-2073-43dd-8cdf-ebe8cd71b824,258085.010546851,471470.562306506,CC,1,124.25829337395506
20,C,52.22175379,6.8966306,null,45,null,null,null,1377339671000,AAG04,android,8342c4d0-2073-43dd-8cdf-ebe8cd71b824,258137.043806169,471481.527016869,CD,2,199888.90034346338
7,C,52.22175379,6.8966306,null,45,null,null,null,1377339671000,AAG04,android,8342c4d0-2073-43dd-8cdf-ebe8cd71b824,258137.043806169,471481.527016869,CC,1,124.67832780774111
24,1,52.22081445,6.89547775,null,96,null,null,null,1377340222000,AAG04,android,8342c4d0-2073-43dd-8cdf-ebe8cd71b824,258060.452942885,471375.391119319,CC,1,116.7333218471113
6,blauw,52.22081445,6.89547775,null,96,null,null,null,1377340222000,AAG04,android,8342c4d0-2073-43dd-8cdf-ebe8cd71b824,258060.452942885,471375.391119319,CC,1,188.6765430288958
10,C,52.22081445,6.89547775,null,96,null,null,null,1377340222000,AAG04,android,8342c4d0-2073-43dd-8cdf-ebe8cd71b824,258060.452942885,471375.391119319,CD,2,314.6459390421849
17,A,52.22081445,6.89547775,null,96,null,null,null,1377340222000,AAG04,android,8342c4d0-2073-43dd-8cdf-ebe8cd71b824,258060.452942885,471375.391119319,CD,2,358.82916122674294
4,Martin Meijers,52.21695255,6.89887685,null,182,null,null,null,1377341366000,AAG04,android,8342c4d0-2073-43dd-8cdf-ebe8cd71b824,258301.647474013,470950.611812424,CC,1,18.36272105504466
3,C,52.21695255,6.89887685,null,182,null,null,null,1377341366000,AAG04,android,8342c4d0-2073-43dd-8cdf-ebe8cd71b824,258301.647474013,470950.611812424,IC,3,143.0223987059792
2,C,52.21702798,6.89929005,null,50,null,null,null,1377341500000,AAG04,android,8342c4d0-2073-43dd-8cdf-ebe8cd71b824,258329.706041514,470959.591727175,CC,1,161.19326404726823
12,B,52.21709284,6.89909977,null,26,null,null,null,1377341605000,AAG04,android,8342c4d0-2073-43dd-8cdf-ebe8cd71b824,258316.553954725,470966.535925175,CD,2,473.0640144749783
13,Dienst Uitvoerend Onderwijs,52.21709284,6.89909977,null,26,null,null,null,1377341605000,AAG04,android,8342c4d0-2073-43dd-8cdf-ebe8cd71b824,258316.553954725,470966.535925175,ID,4,683.2105665647555
22,C,52.21709284,6.89909977,null,26,null,null,null,1377341605000,AAG04,android,8342c4d0-2073-43dd-8cdf-ebe8cd71b824,258316.553954725,470966.535925175,CD,2,538.4332322579598
14,D,52.21709284,6.89909977,null,26,null,null,null,1377341605000,AAG04,android,8342c4d0-2073-43dd-8cdf-ebe8cd71b824,258316.553954725,470966.535925175,CD,2,933.6151796105984
9,C,52.21709284,6.89909977,null,26,null,null,null,1377341605000,AAG04,android,8342c4d0-2073-43dd-8cdf-ebe8cd71b824,258316.553954725,470966.535925175,CD,2,415.41586176537834
8,A,52.22083742,6.89546788,87.8000030518,18,null,119.9000015259,0.7071067691,1377336240859,AAG07,android,cf129e6a-7aa0-4492-81c5-e27b83aa2f68,258059.725435898,471377.932384636,CC,1,32.06518358712033
18,D,52.2209655,6.89533217,76.4000015259,5,null,299.799987793,0.5,1377336334000,AAG07,android,cf129e6a-7aa0-4492-81c5-e27b83aa2f68,258050.15692548,471391.987745361,CC,1,11.561107130094582
24,1,52.21982103,6.89616456,85.8000030518,39,null,null,0,1377336651000,AAG07,android,cf129e6a-7aa0-4492-81c5-e27b83aa2f68,258109.678010085,471265.854706882,CC,1,9.777503408427009
6,blauw,52.21918674,6.89636853,95.0999984741,5,null,null,0,1377336771000,AAG07,android,cf129e6a-7aa0-4492-81c5-e27b83aa2f68,258125.082935448,471195.583316714,CC,1,6.6094337925022
8,A,52.2207946777,6.8955302238,75,2.0808651447,null,0,0.3051804304,1377336240000,AAG07,android,e3339549-b424-4d84-8bad-7ab740047b3f,258064.083878674,471373.266136651,CC,1,25.938207308490995
18,D,52.2209129333,6.8954443932,79,1.6401219368,null,315.2142333984,0.744571507,1377336318000,AAG07,android,e3339549-b424-4d84-8bad-7ab740047b3f,258057.945993543,471386.299467062,CC,1,10.17313633835149
24,1,52.2197532654,6.896173954,91,2.1931712627,null,0,0,1377336577000,AAG07,android,e3339549-b424-4d84-8bad-7ab740047b3f,258110.476745474,471258.329606239,CC,1,12.78839852474122
6,blauw,52.2191848755,6.8963670731,102,1.4866068363,null,0,0,1377336750000,AAG07,android,e3339549-b424-4d84-8bad-7ab740047b3f,258124.98770914,471195.373828833,CC,1,6.820888456185533
1,C,52.2181777954,6.8965601921,92,2.0615530014,null,0,0,1377336987000,AAG07,android,e3339549-b424-4d84-8bad-7ab740047b3f,258140.514932627,471083.616113045,CC,1,65.96315039524667
2,C,52.2175674438,6.8977832794,92,2.5495097637,null,0,0,1377337296000,AAG07,android,e3339549-b424-4d84-8bad-7ab740047b3f,258225.499680271,471017.458144756,CC,1,42.05190289612744
3,A,52.2175674438,6.8977618217,92,1.5620499849,null,0,0,1377337362000,AAG07,android,e3339549-b424-4d84-8bad-7ab740047b3f,258224.033515772,471017.42759852,CC,1,40.838627601533105
4,martin meijers,52.21692276,6.8993926048,133,36.6230812073,null,0,0,1377337634000,AAG07,android,e3339549-b424-4d84-8bad-7ab740047b3f,258336.957629139,470948.032708775,CC,1,17.07136259295461
5,oranje,52.216632843,6.902654171,114,18.4361057281,null,0,0,1377337951000,AAG07,android,e3339549-b424-4d84-8bad-7ab740047b3f,258560.491530298,470920.434071519,CC,1,32.19169018889198
22,C,52.2165908813,6.9026327133,107,2.1023795605,null,0,0,1377338169000,AAG07,android,e3339549-b424-4d84-8bad-7ab740047b3f,258559.122902701,470915.735414391,CD,2,771.3729696223838
12,B,52.219871521,6.8943715096,102,2.607681036,null,286.8090820313,0.4296979606,1377339110000,AAG07,android,e3339549-b424-4d84-8bad-7ab740047b3f,257987.051607852,471268.923383965,CC,1,25.861178483996113
13,dienst uitvoering onderwijs,52.2199897766,6.8942427635,94,2.561249733,null,0,0,1377339146000,AAG07,android,e3339549-b424-4d84-8bad-7ab740047b3f,257977.981633374,471281.89585882,CD,2,377.89345488092096
14,D,52.2199707031,6.8942642212,91,2.7802877426,null,37.9412841797,0.3265573382,1377339202000,AAG07,android,e3339549-b424-4d84-8bad-7ab740047b3f,257979.491823603,471279.80450431,CD,2,528.8870924486348
